Item ID	Item value	Change in Kuiper test statistic when item removed
SMAD2	9.7905035384376	-0.008333333333333415
HSP90AA1	20.4614110018926	0.05833333333333324
CEBPD	13.1294418617694	0.05833333333333324
CSNK2A2	8.3903835187863	-0.008333333333333415
LPL	3.20165564483165	-0.008333333333333415
ANK3	8.1450686003453	-0.008333333333333415
NR2F2	6.79085793972445	-0.008333333333333415
MED23	2.79480821858205	-0.008333333333333415
RPS6KA3	2.16609389773615	0.009179801517804953
ALCAM	4.43774423726535	-0.008333333333333415
NR5A2	4.30146207493685	-0.008333333333333415
COL4A2	3.97329920049975	-0.008333333333333415
CFL1	2.72986420387295	-0.008333333333333415
PLXNA2	2.47573510850665	-0.008333333333333415
PPARA	9.9833759312922	0.005677174547577102
SOS2	9.57169756583275	-0.008333333333333415
